road_id,from_location_id,to_location_id,distance_m,travel_time_s,road_condition_weight,is_closed,road_name
R-001,EXT-C01,EXT-HC02,2412,325,1.4,0,Agomeda Township to Agomeda Health Centre Road
R-002,EXT-C02,EXT-H01,3753,550,1.0,0,Asabe to Ayikuma CHPS Compound Road
R-003,EXT-C03,EXT-HC02,2643,404,1.4,0,Atsavanya to Agomeda Health Centre Road
R-004,EXT-C04,EXT-HC01,5967,389,1.4,0,Dedenya to Duffor Health Centre Road
R-005,EXT-C05,EXT-HC03,4956,332,1.0,0,Hwapa to Osudoku Health Centre Road
R-006,EXT-C06,EXT-H02,2267,523,1.0,0,"Manya-Jorpanya to St. Andrew Catholic Hospital, Kordiabe Road"
R-007,EXT-C07,EXT-HC01,5639,327,1.4,0,Odumase to Duffor Health Centre Road
R-008,EXT-C08,EXT-HC03,3128,858,1.0,0,Wedokum to Osudoku Health Centre Road
R-009,EXT-H01,EXT-HC02,3805,819,1.8,0,Ayikuma CHPS Compound to Agomeda Health Centre Road
R-010,EXT-H02,GATE-01,5561,439,1.0,0,"St. Andrew Catholic Hospital, Kordiabe to Ambulance Bay Road"
R-011,EXT-H03,EXT-HC01,5462,708,1.4,0,Doryumu CHPS Compound to Duffor Health Centre Road
R-012,EXT-H04,EXT-HC03,3273,580,1.4,0,Kasunya CHPS Compound to Osudoku Health Centre Road
R-013,EXT-H05,EXT-HC04,2837,454,1.4,0,Volivo CHPS Compound to Asutsuare Health Centre Road
R-014,EXT-H06,EXT-HC04,2792,727,1.4,0,Sota CHPS Compound to Asutsuare Health Centre Road
R-015,EXT-HC01,GATE-01,8945,1141,1.0,0,Duffor Health Centre to Ambulance Bay Road
R-016,EXT-HC02,GATE-01,9977,1540,1.8,0,Agomeda Health Centre to Ambulance Bay Road
R-017,EXT-HC03,GATE-01,5022,1375,1.0,0,Osudoku Health Centre to Ambulance Bay Road
R-018,EXT-HC04,GATE-01,8522,1200,1.8,0,Asutsuare Health Centre to Ambulance Bay Road
R-019,GATE-01,EXT-R01,39000,2700,1.0,0,Ambulance Bay to Greater Accra Regional Hospital Road
R-020,EXT-C01,EXT-H01,6566,1040,1.4,0,Agomeda Township to Ayikuma CHPS Compound Road
R-021,EXT-C02,EXT-HC02,6229,693,1.0,0,Asabe to Agomeda Health Centre Road
R-022,EXT-C03,EXT-H02,7271,442,1.4,0,"Atsavanya to St. Andrew Catholic Hospital, Kordiabe Road"
R-023,EXT-C04,EXT-H03,1875,766,1.8,0,Dedenya to Doryumu CHPS Compound Road
R-024,EXT-C05,EXT-H04,7832,892,1.4,0,Hwapa to Kasunya CHPS Compound Road
R-025,EXT-C06,EXT-HC01,2153,776,1.0,0,Manya-Jorpanya to Duffor Health Centre Road
R-026,EXT-C07,EXT-H03,8598,506,1.4,0,Odumase to Doryumu CHPS Compound Road
